WANTED_AUTH_NO,COMPANY,TITLE,JOBS_NM,SAL_TP_NM,SAL_TP_CD,SAL,SAL_AMT,REGION,REGION_CD,HOLIDAY_TP_NM,MIN_EDUBG,MIN_EDUBG_CD,MAX_EDUBG,MAX_EDUBG_CD,CAREER,CAREER_CD,EMP_TP_NM,PSN_CNT,RCPT_MTHD,WANTED_REG_DT,CLOSE_DT,INFO_SVC,WANTED_INFO_URL,ZIP_CD,STRTNM_CD,BASIC_ADDR,DETAIL_ADDR,RD_CNT,SHERE_CNT,BIZ_NO,REG_DT,REG_USR,UPD_DT,UPD_USR,DEL_YN,USE_YN,INTRST_CNT,CL_CD,JOB_CAREER_CD,JOBS_CD,JOB_AREA_CD,JOB_ACDMCR_CD,EMP_TP_CD,JOB_EMP_TP_CD,SEOUL_CAPITAL_AREA_YN
KEC0052606220003,부모사랑노인복지센터,[다대동]재가요양보호사,재가 요양보호사(550102),시급,H,10320원,10320,부산 사하구,26380,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망,1,"방문,기타(전화 후 방문)",2026.6.22,채용시까지  26-07-06,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0052606220003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,49501,2.64E+11,부산광역시 사하구 다대낙조2길 50,,0,0,1348277870,2026.6.24 2:57,SYSTEM,2026.6.24 2:57,SYSTEM,N,Y,0,550102,1,550102,1000,0,11,1,N
KJBJ002606220009,채움재가복지센터,[주례동] 요양보호사 채용,요양보호사(550100),시급,H,10320원 ~ 10320원,10320 ~ 10320,부산 사상구,26530,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,방문,2026.6.22,채용시까지  26-08-21,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBJ002606220009&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,47008,2.65E+11,부산광역시 사상구 가야대로344번길 79,,0,0,7068004329,2026.6.24 2:55,SYSTEM,2026.6.24 2:55,SYSTEM,N,Y,0,550100,1,550100,1000,0,10,1,N
K130232606220023,대광E&A,단순 조립 일용직 모집 4-5개월 연속 근무가능 ...,전기·전자 부품 및 제품 조립원(836000),일급,D,100000원 ~ 100000원,100000 ~ 100000,부산 강서구,26440,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 있는 근로계약5 개월/ 파견근로 비희망/ 대체인력채용 비희망,1,"고용24,이메일",2026.6.22,채용시까지  26-08-18,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K130232606220023&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,46746,2.64E+11,부산광역시 강서구 미음국제5로다길 7,,0,0,6173476846,2026.6.24 2:54,SYSTEM,2026.6.24 2:54,SYSTEM,N,Y,0,836000,1,836000,1000,0,20,2,N
KJKP002606220009,주식회사 딘포,무인정보단말기(kiosk) 생산 직원 채용,영상·음향기기 등 기타 전기·전자 기기 설치·수리원(832906),연봉,Y,2800만원 ~ 3000만원,2800 ~ 3000,경기 안산시 단원구,41273,주5일근무,학력무관,0,null,,신입,N,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,이메일,2026.6.22,채용시까지  26-08-21,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKP002606220009&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,15421,4.13E+11,경기도 안산시 단원구 만해로 205,제7층 에이702호,0,0,1168197298,2026.6.24 2:52,SYSTEM,2026.6.24 2:52,SYSTEM,N,Y,0,832906,2,832906,4127,0,10,1,Y
KEC0872606220001,유원재가복지센터,[남산동]재가요양보호사,재가 요양보호사(550102),시급,H,10320원,10320,부산 금정구,26410,주5일근무,학력무관,0,null,,경력,E,기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망,1,방문,2026.6.22,2026.7.6,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0872606220001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,46225,2.64E+11,부산광역시 금정구 남산로37번길 52,,0,0,7148002701,2026.6.24 2:52,SYSTEM,2026.6.24 2:52,SYSTEM,N,Y,0,550102,3,550102,1000,0,11,1,N
KJBJ002606220015,가가호호방문요양센터,[강서구 에코델타 ] 재가요양보호사 모집,재가 요양보호사(550102),시급,H,10320원 ~ 13000원,10320 ~ 13000,부산 강서구,26440,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약(시간(선택)제)/ 파견근로 비희망/ 대체인력채용 비희망,1,방문,2026.6.22,채용시까지  26-08-21,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBJ002606220015&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,46716,2.64E+11,부산광역시 강서구 에코델타5로 60,..,0,0,1268030152,2026.6.24 2:51,SYSTEM,2026.6.24 2:51,SYSTEM,N,Y,0,550102,1,550102,1000,0,11,1,N
KJKY002606220008,가온재가방문요양센터,오전동 오후 남자 어르신 케어 하실분,재가 요양보호사(550102),시급,H,10320원 ~ 10320원,10320 ~ 10320,경기 의왕시,41430,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 있는 근로계약(시간(선택)제)12 개월/ 파견근로 비희망/ 대체인력채용 비희망,1,고용24,2026.6.22,채용시까지  26-08-21,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKY002606220008&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,16057,4.14E+11,경기도 의왕시 오전로 85-4,303,0,0,8748000761,2026.6.24 2:46,SYSTEM,2026.6.24 2:46,SYSTEM,N,Y,0,550102,1,550102,4143,0,21,2,Y
KJBF002606220001,(주)듀델코리아,[초량동] 롯데캐슬 드메르 미화 팀장 모집 / 주...,거리 및 공공장소 청소원(환경 미화원)(561300),월급,M,250만원 ~ 250만원,250 ~ 250,부산 동구,26170,주6일근무,학력무관,0,null,,경력,E,기간의 정함이 있는 근로계약3 개월/ 파견근로 비희망/ 대체인력채용 비희망,1,"팩스,기타(▷이력서 접수 ☞ 팩스 : 051-745-8561 (이력서 상단에 '롯데캐슬드메르 미화 팀장"" 이라고 기재 부탁드립니다))",2026.6.22,채용시까지  26-07-06,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBF002606220001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,48751,2.62E+11,부산광역시 동구 충장대로 190,롯데캐슬 드메르,0,0,6738501269,2026.6.24 2:44,SYSTEM,2026.6.24 2:44,SYSTEM,N,Y,0,561300,3,561300,1000,0,20,2,N
K120122606230001,주식회사 하나은행,[하나은행 송파헬리오시티지점] 시급제 텔러 채용(...,출납창구 사무원(은행·농협·수협·축협)(032401),시급,H,13000원 ~ 13000원,13000 ~ 13000,서울 송파구,11710,주5일근무,학력무관,0,null,,경력,E,기간의 정함이 있는 근로계약6 개월/ 파견근로 비희망/ 대체인력채용 비희망,1,고용24,2026.6.23,2026.7.27,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120122606230001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,5698,1.17E+11,서울특별시 송파구 송파대로 345,하나은행 송파헬리오시티지점,0,0,2028114695,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,32401,3,32401,1100,0,20,2,Y
K180312606230002,주식회사비쏠시스템,"시스템 에어컨 영업 및 공무(경력),캐드",기계장비 기술영업원(612102),연봉,Y,4000만원 ~ 9000만원,4000 ~ 9000,경기 성남시 중원구,41133,주5일근무,학력무관,0,null,,경력,E,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,"고용24,이메일",2026.6.23,채용시까지  26-08-21,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180312606230002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,13439,4.11E+11,경기도 성남시 중원구 성남대로997번길 51-22,,0,0,5368101375,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,612102,3,612102,4113,0,10,1,Y
K120122606230003,주식회사 하나은행,[하나은행 태릉금융센터지점]시급제 텔러 채용(기본...,출납창구 사무원(은행·농협·수협·축협)(032401),시급,H,13000원 ~ 13000원,13000 ~ 13000,서울 중랑구,11260,주5일근무,학력무관,0,null,,경력,E,기간의 정함이 있는 근로계약6 개월/ 파견근로 비희망/ 대체인력채용 비희망,1,고용24,2026.6.23,2026.7.27,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120122606230003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,2033,1.13E+11,서울특별시 중랑구 동일로 946,하나은행 태릉금융센터지점,0,0,2028114695,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,32401,3,32401,1100,0,20,2,Y
K120122606230002,주식회사 하나은행,[하나은행 이수역지점] 시급제 텔러 채용(기본 6...,출납창구 사무원(은행·농협·수협·축협)(032401),시급,H,15000원 ~ 15000원,15000 ~ 15000,서울 동작구,11590,주5일근무,학력무관,0,null,,경력,E,기간의 정함이 있는 근로계약6 개월/ 파견근로 비희망/ 대체인력채용 비희망,1,고용24,2026.6.23,2026.7.27,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120122606230002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,7008,1.16E+11,서울특별시 동작구 동작대로 109,하나은행 이수역지점,0,0,2028114695,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,32401,3,32401,1100,0,20,2,Y
K162142606230001,(주)태화,생산직구인합니다,식품 분야 단순 종사원(890006),월급,M,220만원,220,전남 완도군,46890,주6일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,2,방문,2026.6.23,채용시까지  26-08-22,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K162142606230001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,59108,4.69E+11,전라남도 완도군 완도읍 농공단지5길 42,,0,0,8068102327,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,890006,1,890006,1000,0,10,1,N
K180312606230001,지앤티자산관리(주),"대치프라자 야간 사원 모집 (대치동, 3호선 대치...",주차 관리원 및 안내원(564300),월급,M,155만원 ~ 160만원,155 ~ 160,서울 강남구,11680,주6일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 있는 근로계약2 개월/ 파견근로 비희망/ 대체인력채용 비희망,1,"방문,고용24,이메일",2026.6.23,채용시까지  26-08-21,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180312606230001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,6280,1.17E+11,서울특별시 강남구 대치동 남부순환로 2933,대치프라자,0,0,5158702404,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,564300,1,564300,1100,0,20,2,Y
K171112606230001,그린실버요양원,어르신들의 행복을 책임지는 따뜻한 마음을 가진 요...,요양보호사(노인요양사)(550101),월급,M,250만원 ~ 260만원,250 ~ 260,충북 청주시 상당구,43111,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,"고용24,이메일",2026.6.23,채용시까지  26-08-22,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K171112606230001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,28196,4.31E+11,충청북도 청주시 상당구 미원면 쌍이운교로 555-58,그린실버요양원,0,0,3178266997,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,550101,1,550101,1000,0,10,1,N
K120232606230001,사회복지법인운가자비원,성내1동 우리동네키움센터 돌봄선생님 채용 공고,사회복지사(사회복지시설)(231101),월급,M,223만원 ~ 389만원,223 ~ 389,서울 강동구,11740,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,기타(*** 이메일 접수만 가능 (idbcenter44@naver.com)),2026.6.23,2026.7.7,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120232606230001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,5400,1.17E+11,서울특별시 강동구 성내로6다길 55,109동 201호,0,0,2108205914,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,231101,1,231101,1100,0,10,1,Y
K180212606230001,주식회사기산이앤씨,기간 통신망 설계 및 운영 모집합니다.,통신기술 개발자 및 통신망 운영 기술자(131202),연봉,Y,4500만원 ~ 4900만원,4500 ~ 4900,경기 포천시,41650,주5일근무,학력무관,0,null,,경력,E,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,"고용24,이메일",2026.6.23,채용시까지  26-08-21,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180212606230001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,11185,4.17E+11,경기도 포천시 죽엽산로 419-9,,0,0,1288647952,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,131202,3,131202,4165,0,10,1,Y
K120122606230004,주식회사티에스전산,[HP제품] 노트북 데스크탑 수리 A/S 및 유지...,컴퓨터 설치 및 수리원(컴퓨터A/S원)(841100),연봉,Y,3000만원 ~ 3000만원,3000 ~ 3000,서울 중구,11140,주5일근무,학력무관,0,null,,신입,N,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,고용24,2026.6.23,2026.7.15,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120122606230004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,4597,1.11E+11,서울특별시 중구 다산로 104,4층 402호,0,0,2268153675,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,841100,2,841100,1100,0,10,1,Y
KJ21622606230001,유한회사 태산에프엔에스,생산직모집,기타 제조 관련 단순 종사원(890000),월급,M,215만원,215,전북 익산시,52140,주5일근무,학력무관,0,null,,신입,N,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,10,"고용24,이메일",2026.6.23,채용시까지  26-08-22,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21622606230001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,54574,5.21E+11,전북특별자치도 익산시 금마면 무왕로33길 220,유한회사태산에프엔에스,0,0,6788701138,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,890000,2,890000,,0,10,1,N
K140062606230006,주식회사 피에프에스,★ 대구달성고용센터 2층 26. 6. 26(금) ...,고무 사출성형기 조작원(852101),시급,H,10320원 ~ 10320원,10320 ~ 10320,대구 달성군,27710,주5일근무,학력무관,0,null,,관계없음,Z,기간의 정함이 있는 근로계약12 개월/ 계약기간 만료 후 상용직전환검토/ 파견근로 비희망/ 대체인력채용 비희망,5,"방문,기타(★ 대구달성고용센터 2층 회의실 26. 6. 26 (금) 오후2시 현장면접★ 면접희망자는 면접일정 확인후 이력서, 건강보험 자격득실확인서(전체이력) 지참 방문하시기 바랍니다.(고용24 구직등록 필수)* 달성고용센터 오시는길: 버스노선 665번, 655번 / (지하철 "" 설화명곡역"" 환승 후 버스노선 665번, 655번 ))",2026.6.23,2026.6.26,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K140062606230006&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,42982,2.77E+11,대구광역시 달성군 논공읍 논공중앙로51길 42,,0,0,6568601922,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,852101,1,852101,1000,0,20,2,N
K151222606230001,DY탑텍,특장차 부품 제조  정직원 모집,기타 제조 관련 단순 종사원(890000),월급,M,230만원,230,경기 김포시,41570,주5일근무,학력무관,0,null,,신입,N,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,"방문,고용24",2026.6.23,채용시까지  26-08-21,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K151222606230001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,10039,4.16E+11,경기도 김포시 대곶면 율마로 31-12,,0,0,4522500510,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,890000,2,890000,4157,0,10,1,Y
K171112606230002,대부건설합자회사,"경리,사무직 직원 모집 공고",경리 사무원(건설)(027203),월급,M,250만원 ~ 270만원,250 ~ 270,충북 청주시 청원구,43114,주5일근무,고졸,3,대졸(2~3년),4,경력,E,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,1,이메일,2026.6.23,채용시까지  26-08-17,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K171112606230002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,28484,4.31E+11,충청북도 청주시 청원구 무심동로 592,3층,0,0,2258103420,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,27203,3,27203,1000,3,10,1,N
K150112606230001,정드림요양원,한결같은 고운맘 주야비 요양보호사선생님을 모십니다...,요양보호사(노인요양사)(550101),월급,M,245만원 ~ 245만원,245 ~ 245,인천 부평구,28237,주5일근무,학력무관,0,null,,경력,E,기간의 정함이 없는 근로계약/ 파견근로 비희망/ 대체인력채용 비희망,2,"방문,고용24,이메일",2026.6.23,2026.7.10,VALIDATION,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K150112606230001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,21398,2.82E+11,인천광역시 부평구 부흥로 412,정드림요양원 5층,0,0,3778001648,2026.6.24 2:43,SYSTEM,2026.6.24 2:43,SYSTEM,N,Y,0,550101,3,550101,2800,0,10,1,Y
